seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
200786,30,50.63,40,47,-1
200787,57,43.75,74,-1,-1
200788,48,50.00,58,65,-1
200789,37,51.52,49,54,-1
200790,-1,0.00,-1,-1,-1
200791,48,50.00,57,64,-1
200792,44,51.72,52,57,-1
200793,36,50.00,42,47,-1
200794,-1,0.00,-1,-1,-1
200795,37,52.38,49,55,-1
200796,-1,0.00,-1,-1,-1
200797,58,54.55,67,73,-1
200798,-1,0.00,-1,-1,-1
200799,-1,0.00,-1,-1,-1
200800,-1,0.00,-1,-1,-1
200801,49,50.00,60,67,-1
200802,64,50.00,76,78,-1
200803,-1,0.00,-1,-1,-1
200804,49,50.00,59,63,-1
200805,32,51.65,42,49,-1
200806,-1,0.00,-1,-1,-1
200807,-1,0.00,-1,-1,-1
200808,64,41.18,78,-1,-1
200809,38,51.85,47,53,-1
200810,66,16.67,-1,-1,-1
200811,-1,0.00,-1,-1,-1
200812,64,50.00,74,80,-1
200813,-1,0.00,-1,-1,-1
200814,-1,0.00,-1,-1,-1
200815,50,51.35,58,66,-1
200816,43,50.00,50,57,-1
200817,45,54.00,53,58,-1
200818,37,53.12,48,53,-1
200819,39,50.00,51,55,-1
200820,45,50.98,54,61,-1
200821,-1,0.00,-1,-1,-1
200822,46,52.94,54,60,-1
200823,54,50.00,62,68,-1
200824,35,50.51,40,48,-1
200825,-1,0.00,-1,-1,-1
200826,-1,0.00,-1,-1,-1
200827,-1,0.00,-1,-1,-1
200828,35,51.19,46,51,-1
200829,37,51.52,49,56,-1
200830,32,51.14,43,48,-1
200831,-1,0.00,-1,-1,-1
200832,47,54.00,58,67,-1
200833,39,50.79,49,53,-1
200834,-1,0.00,-1,-1,-1
200835,33,53.75,42,47,-1
200836,-1,0.00,-1,-1,-1
200837,61,50.00,67,76,-1
200838,27,51.37,38,43,-1
200839,-1,0.00,-1,-1,-1
200840,53,53.33,66,74,-1
200841,-1,0.00,-1,-1,-1
200842,28,50.86,37,44,-1
200843,50,50.00,56,60,-1
200844,47,52.50,57,62,-1
200845,42,54.55,51,57,-1
200846,40,53.12,50,58,-1
200847,51,53.12,64,71,-1
200848,-1,0.00,-1,-1,-1
200849,-1,0.00,-1,-1,-1
200850,-1,0.00,-1,-1,-1
200851,-1,0.00,-1,-1,-1
200852,44,51.16,58,65,-1
200853,-1,0.00,-1,-1,-1
200854,29,50.70,40,47,-1
200855,45,50.77,51,56,-1
200856,-1,0.00,-1,-1,-1
200857,41,51.79,51,58,-1
200858,-1,0.00,-1,-1,-1
200859,46,51.06,57,62,-1
200860,43,50.00,56,62,-1
200861,-1,0.00,-1,-1,-1
200862,-1,0.00,-1,-1,-1
200863,30,54.81,42,47,-1
200864,-1,0.00,-1,-1,-1
200865,52,54.55,62,65,-1
200866,-1,0.00,-1,-1,-1
200867,29,51.52,42,49,-1
200868,54,59.26,66,70,-1
200869,53,55.56,58,62,-1
200870,28,53.23,38,45,-1
200871,42,51.72,54,59,-1
200872,39,50.67,47,54,-1
200873,38,52.46,49,56,-1
200874,48,50.00,62,67,-1
200875,-1,0.00,-1,-1,-1
200876,43,50.00,59,65,-1
200877,47,50.00,56,63,-1
200878,-1,0.00,-1,-1,-1
200879,-1,0.00,-1,-1,-1
200880,40,50.65,49,56,-1
200881,-1,0.00,-1,-1,-1
200882,-1,0.00,-1,-1,-1
200883,-1,0.00,-1,-1,-1
