seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
100778,44,52.38,51,58,-1
100779,-1,0.00,-1,-1,-1
100780,-1,0.00,-1,-1,-1
100781,38,58.06,47,51,-1
100782,41,55.41,49,54,-1
100783,-1,0.00,-1,-1,-1
100784,-1,0.00,-1,-1,-1
100785,72,33.33,76,-1,-1
100786,58,51.16,63,67,-1
100787,-1,0.00,-1,-1,-1
100788,-1,0.00,-1,-1,-1
100789,45,50.94,55,60,-1
100790,-1,0.00,-1,-1,-1
100791,52,51.79,62,68,-1
100792,-1,0.00,-1,-1,-1
100793,46,54.55,55,59,-1
100794,62,50.00,67,73,-1
100795,30,51.88,41,45,-1
100796,-1,0.00,-1,-1,-1
100797,64,54.05,75,80,-1
100798,41,50.67,48,52,-1
100799,49,54.55,60,65,-1
100800,64,54.00,71,76,-1
100801,41,51.11,49,54,-1
100802,43,54.55,49,56,-1
100803,-1,0.00,-1,-1,-1
100804,-1,0.00,-1,-1,-1
100805,51,50.85,58,64,-1
100806,66,47.83,75,-1,-1
100807,43,50.00,48,55,-1
100808,-1,0.00,-1,-1,-1
100809,44,54.39,54,59,-1
100810,34,51.85,45,49,-1
100811,-1,0.00,-1,-1,-1
100812,41,56.92,51,57,-1
100813,-1,0.00,-1,-1,-1
100814,-1,0.00,-1,-1,-1
100815,33,54.84,40,45,-1
100816,-1,0.00,-1,-1,-1
100817,39,51.52,45,50,-1
100818,-1,0.00,-1,-1,-1
100819,36,50.00,43,49,-1
100820,-1,0.00,-1,-1,-1
100821,58,50.00,68,74,-1
100822,61,52.63,72,77,-1
100823,-1,0.00,-1,-1,-1
100824,32,52.87,41,46,-1
100825,49,52.83,60,64,-1
100826,54,55.88,61,64,-1
100827,36,54.46,46,50,-1
100828,48,51.67,59,63,-1
100829,-1,0.00,-1,-1,-1
100830,49,53.85,56,61,-1
100831,42,53.26,49,53,-1
100832,-1,0.00,-1,-1,-1
100833,39,53.62,50,55,-1
100834,-1,0.00,-1,-1,-1
100835,-1,0.00,-1,-1,-1
100836,-1,0.00,-1,-1,-1
100837,33,51.26,38,42,-1
100838,43,52.22,51,56,-1
100839,-1,0.00,-1,-1,-1
100840,-1,0.00,-1,-1,-1
100841,-1,0.00,-1,-1,-1
100842,50,51.16,59,64,-1
100843,34,55.17,42,48,-1
100844,-1,0.00,-1,-1,-1
100845,51,51.06,60,64,-1
100846,-1,0.00,-1,-1,-1
100847,47,51.16,54,58,-1
100848,47,51.32,54,58,-1
100849,48,52.46,57,63,-1
100850,-1,0.00,-1,-1,-1
100851,37,53.97,44,48,-1
100852,-1,0.00,-1,-1,-1
100853,53,52.63,64,69,-1
100854,-1,0.00,-1,-1,-1
100855,51,54.43,57,62,-1
100856,-1,0.00,-1,-1,-1
100857,46,55.26,55,60,-1
100858,46,55.22,54,59,-1
100859,-1,0.00,-1,-1,-1
100860,68,54.17,75,79,-1
100861,-1,0.00,-1,-1,-1
100862,-1,0.00,-1,-1,-1
100863,63,51.35,74,79,-1
100864,71,23.53,-1,-1,-1
100865,50,56.45,60,65,-1
100866,41,50.00,49,56,-1
100867,57,51.16,62,67,-1
100868,36,51.72,45,49,-1
100869,45,50.00,50,55,-1
100870,-1,0.00,-1,-1,-1
100871,73,50.00,76,79,-1
100872,-1,0.00,-1,-1,-1
100873,63,52.83,70,73,-1
100874,-1,0.00,-1,-1,-1
100875,45,53.64,54,59,-1
100876,41,55.65,48,52,-1
100877,-1,0.00,-1,-1,-1
100878,-1,0.00,-1,-1,-1
100879,31,55.11,38,44,-1
100880,50,53.23,61,67,-1
100881,47,55.88,56,62,-1
100882,74,14.29,-1,-1,-1
100883,41,53.75,49,55,-1
100884,35,50.43,42,47,-1
100885,28,55.17,37,42,-1
100886,-1,0.00,-1,-1,-1
100887,-1,0.00,-1,-1,-1
100888,56,50.00,64,69,-1
100889,46,53.95,55,60,-1
100890,57,53.66,64,68,-1
100891,-1,0.00,-1,-1,-1
100892,38,51.11,44,49,-1
100893,-1,0.00,-1,-1,-1
100894,-1,0.00,-1,-1,-1
100895,53,50.00,58,61,-1
100896,-1,0.00,-1,-1,-1
100897,-1,0.00,-1,-1,-1
100898,-1,0.00,-1,-1,-1
100899,73,28.57,79,-1,-1
100900,-1,0.00,-1,-1,-1
100901,40,50.50,48,53,-1
