brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.046983,0.102604,0.407698,0.158307,0.00363317,2.2300,42.50,52.50,58.00,-1.00
0.045940,0.143869,0.283293,0.112962,0.00583799,5.6200,42.00,52.00,58.50,-1.00
0.044108,0.086546,0.272728,0.227592,0.00594626,2.5000,42.00,49.00,53.00,-1.00
0.041951,0.101565,0.560407,0.122469,0.00488245,6.0400,43.50,53.00,59.50,-1.00
0.043014,0.118923,0.318661,0.186498,0.00420629,4.9200,42.00,51.00,56.00,-1.00
0.049662,0.109014,0.378041,0.140438,0.00383291,5.5200,44.00,54.00,60.00,-1.00
0.050520,0.131776,0.400542,0.135448,0.00475333,6.1600,41.50,50.00,56.00,-1.00
0.040207,0.106439,0.263742,0.121786,0.00473900,3.6300,43.00,56.00,60.50,-1.00
0.045033,0.132426,0.191193,0.127432,0.00500074,4.5600,42.00,53.50,58.00,-1.00
0.048508,0.121631,0.127268,0.129402,0.00508831,4.7900,44.00,55.50,60.00,-1.00
0.048658,0.114650,0.324242,0.142526,0.00373199,4.6500,44.00,54.00,59.00,-1.00
0.043790,0.099378,0.160534,0.183504,0.00488117,4.5400,43.50,50.00,55.00,-1.00
0.046417,0.100747,0.288192,0.150121,0.00376947,5.5000,45.00,53.00,58.00,-1.00
0.041428,0.091078,0.271595,0.226486,0.00592824,5.6400,45.00,52.00,56.00,-1.00
0.045464,0.139634,0.199479,0.108023,0.00592194,6.0100,43.50,55.00,61.50,-1.00
0.043503,0.101150,0.474526,0.185945,0.00407880,5.2200,46.00,54.00,59.00,-1.00
0.046618,0.106262,0.473448,0.139470,0.00373462,5.7300,45.00,54.50,58.00,-1.00
0.044137,0.084619,0.495070,0.182552,0.00486045,2.9300,46.00,53.00,58.00,-1.00
0.043034,0.098107,0.310201,0.166940,0.00393990,4.6800,41.00,50.50,56.00,-1.00
0.050165,0.119541,0.424601,0.120867,0.00421315,4.6600,41.00,51.50,58.00,-1.00
0.044672,0.102253,0.298923,0.138859,0.00374957,2.6300,46.00,56.00,60.00,-1.00
0.042589,0.108974,0.469594,0.144452,0.00390982,5.9000,45.50,53.00,59.00,-1.00
0.049057,0.158587,0.441900,0.104416,0.01002780,4.6500,42.00,53.00,60.00,-1.00
0.045982,0.106286,0.342406,0.111463,0.00387264,3.6300,44.00,54.50,61.50,-1.00
0.041617,0.092941,0.447570,0.221599,0.00534341,4.9200,44.00,52.00,56.00,-1.00
0.038898,0.095196,0.196734,0.173409,0.00579291,5.9300,44.50,53.50,58.50,-1.00
0.047182,0.092117,0.362675,0.140336,0.00408691,4.9200,42.50,53.00,58.00,-1.00
0.044734,0.093581,0.342066,0.153991,0.00391839,3.0500,47.00,55.50,59.00,-1.00
0.046548,0.125557,0.548964,0.120070,0.00473831,2.3100,42.00,53.50,59.00,-1.00
0.046563,0.080431,0.592265,0.228778,0.00762684,2.7600,43.50,51.50,55.50,-1.00
0.047108,0.115769,0.551461,0.105338,0.00467057,5.5200,46.00,56.00,63.00,-1.00
0.046297,0.090148,0.168719,0.209049,0.00592807,6.0800,41.50,49.50,55.00,-1.00
0.042421,0.087543,0.469015,0.167428,0.00459769,1.5300,43.00,53.00,57.50,-1.00
0.048174,0.110422,0.312977,0.122721,0.00381407,4.8800,43.00,52.00,58.00,-1.00
0.038561,0.098040,0.289693,0.166195,0.00509691,5.3600,44.00,53.00,58.50,-1.00
0.043599,0.081718,0.344573,0.237171,0.00660687,4.9200,43.00,50.50,54.00,-1.00
0.047682,0.120296,0.402169,0.124718,0.00382910,5.2000,43.00,51.00,59.00,-1.00
0.043350,0.107221,0.166793,0.124613,0.00465760,1.0800,43.50,56.00,63.00,-1.00
0.040761,0.075259,0.537636,0.203881,0.00728782,4.9100,43.00,51.00,55.00,-1.00
0.053514,0.130351,0.350341,0.105938,0.00599978,3.6600,43.00,53.00,60.50,-1.00
0.044508,0.120576,0.358793,0.110292,0.00401164,4.7700,44.00,55.00,63.00,-1.00
